21.09.2018 открытие;21.09.2018 максимум;21.09.2018 минимум;21.09.2018 закрытие;23.10.2018 открытие;23.10.2018 максимум;23.10.2018 минимум;23.10.2018 закрытие;21.11.2018 открытие;21.11.2018 максимум;21.11.2018 минимум;21.11.2018 закрытие;04.12.2018 открытие;04.12.2018 максимум;04.12.2018 минимум;04.12.2018 закрытие
112650;112670;112640;112660;110620;110690;110590;110660;111670;111690;111560;111560;115440;115470;115430;115460
112670;112680;112620;112640;110660;110690;110600;110650;111560;111570;111510;111530;115460;115480;115450;115470
112640;112660;112630;112630;110650;110650;110580;110630;111540;111590;111530;111550;115470;115490;115460;115470
112640;112660;112610;112640;110630;110660;110610;110640;111560;111600;111540;111580;115490;115530;115490;115510
112660;112700;112560;112650;110640;110840;110630;110830;111590;111600;111480;111560;115530;115570;115520;115570
112650;112660;112620;112640;110830;110880;110780;110850;111570;111580;111530;111580;115560;115600;115550;115570
112640;112660;112570;112640;110840;110850;110740;110740;111550;111570;111540;111570;115580;115600;115540;115560
112640;112680;112630;112640;110740;110810;110740;110810;111560;111590;111500;111580;115560;115600;115560;115600
112630;112640;112590;112590;110800;110880;110770;110860;111590;111670;111560;111660;115600;115600;115530;115600
112590;112670;112580;112640;110850;110930;110850;110850;111660;111750;111650;111690;115600;115600;115570;115600
112640;112650;112620;112640;110860;110890;110810;110890;111690;111730;111680;111700;115600;115620;115580;115610
112640;112660;112620;112640;110880;110880;110850;110850;111720;111720;111620;111660;115620;115620;115570;115580
112660;112740;112650;112700;110850;110900;110840;110840;111650;111680;111550;111570;115580;115600;115550;115570
112700;112720;112670;112680;110860;110980;110860;110980;111560;111600;111550;111590;115590;115620;115580;115620
112680;112700;112590;112620;110980;111000;110950;110970;111600;111600;111540;111550;115620;115630;115570;115570
112630;112680;112610;112630;110980;111000;110910;110940;111570;111600;111540;111570;115570;115680;115570;115670
112650;112730;112650;112660;110940;111000;110930;111000;111560;111650;111540;111630;115670;115680;115610;115610
